0,10,10,977.84,977,0.83892,99.161,2091.6
0,100,100,58.754,44.447,14.307,85.693,3069.8
0,10,100,53.9,42.961,10.939,89.061,2974.8
0,0,150,38.32,22.263,16.057,83.943,1309.7
5,1,144,39.677,24.667,15.011,84.989,1316.6
10,1,137,38.2,22.899,15.301,84.699,1316.2
15,1,131,37.011,23.786,13.225,86.775,1313.3
20,2,125,36.133,23.429,12.704,87.296,1306.6
25,2,118,39.552,28.511,11.041,88.959,1298.2
30,3,112,45.329,34.009,11.321,88.679,1284.7
35,38,104,45.425,34.981,10.444,89.556,3149
40,55,96,49.392,39.159,10.232,89.768,3150.9
45,67,87,68.555,57.594,10.961,89.039,3136.3
50,77,77,87.428,75.14,12.288,87.712,3026.7
