0,10,10,69.928,1.6085,69.836,1.6204,0.09262,0.069133
0,100,100,2.8195,0.53772,2.0589,0.41634,0.76053,0.25181
0,0,150,2.1188,0.53247,1.1723,0.38862,0.94657,0.26989
5,34,146,1.3128,0.36179,0.70159,0.25351,0.61117,0.21912
10,49,142,1.1658,0.36398,0.63385,0.24326,0.53194,0.23347
15,59,138,1.1555,0.35606,0.66039,0.24268,0.49512,0.20886
20,67,134,1.3134,0.42665,0.77604,0.30563,0.53736,0.22298
25,75,130,1.3317,0.43176,0.81221,0.312,0.51948,0.21941
30,82,125,1.6378,0.44351,1.0676,0.31366,0.5702,0.22831
35,88,121,1.5482,0.40368,1.0377,0.29844,0.51048,0.2061
40,94,116,2.184,0.50223,1.5171,0.3596,0.66696,0.24141
45,100,111,2.1156,0.49173,1.4913,0.36018,0.62427,0.2434
50,106,106,2.7461,0.51447,1.9418,0.3801,0.80434,0.25441
